café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 
brag Prahlen | w_freq: 11 - 1 | wiki_freq: 407 - 24 | sentence_idx: 44462 | align_1: 1-0 | align_2: 2-5 |    Never brag that you have found an excellent job on the Internet and will soon become a millionaire . ||| Prahlen Sie niemals damit , dass Sie im Internet einen hervorragenden Job gefunden haben und bald zum Millionär werden . 

Expect Erwarten | w_freq: 109 - 119 | wiki_freq: 746 - 710 | sentence_idx: 44970 | align_1: 0-0 | align_2: 1-4 |    Expect the gods have Black War II in their plans . ||| Erwarten sie , dass die götter black war ii in ihren plänen haben . 

contradictions Widersprüche | w_freq: 134 - 109 | wiki_freq: 4132 - 2291 | sentence_idx: 45185 | align_1: 13-15 | align_2: 14-19 |    The wars between powers seem no longer a possible solution to the great contradictions as they were until the second half of the 20th century . ||| Die Kriege zwischen den Mächten scheinen schon nicht mehr eine mögliche Lösung für die großen Widersprüche zu sein , wie sie es bis zur zweiten Hälfte des 20. Jahrhunderts waren . 

injure verletzen | w_freq: 20 - 295 | wiki_freq: 2524 - 2442 | sentence_idx: 46508 | align_1: 7-6 | align_2: 8-10 |    The army will continue to kill and injure unless the generals will be stopped . ||| Die Armee wird weiterhin töten und verletzen , es sei denn , die Generäle werden gestoppt . 

Trophies Trophäen | w_freq: 2 - 25 | wiki_freq: 1198 - 1184 | sentence_idx: 46910 | align_1: 13-14 | align_2: 14-18 |    For each star that you earn , you receive one-third of the available Trophies . ||| Für jeden Stern , den du verdienst , erhältst du ein Drittel der verfügbaren Trophäen ( abgerundet ) . 

wonder fragen | w_freq: 1132 - 3134 | wiki_freq: 10438 - 2859 | sentence_idx: 47631 | align_1: 3-2 | align_2: 4-7 |    Many people still wonder if all sports can be performed during periods . ||| Viele Leute fragen sich immer noch , ob alle Sportarten während Perioden ausgeführt werden können . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 48127 | align_1: 0-0 | align_2: 1-4 |    Remember that everyone has a different level of comfort with communication and even friendship . ||| Denken Sie daran , dass jeder ein anderes Maß an Komfort mit Kommunikation und sogar Freundschaft hat . 

Maybe Vielleicht | w_freq: 1324 - 2764 | wiki_freq: 6736 - 3754 | sentence_idx: 48600 | align_1: 4-4 | align_2: 5-10 |    MM ( interrupting ): Maybe if you had a chance to freeze the position for a few minutes … ||| MM ( unterbricht ): Vielleicht wäre es anders gekommen , wenn Sie die Stellung für ein paar Minuten hätten einfrieren können … 

insecticide Insektizid | w_freq: 10 - 9 | wiki_freq: 1780 - 558 | sentence_idx: 49915 | align_1: 5-4 | align_2: 6-9 |    They will also use an insecticide they believe will work the best for your home and family . ||| Sie werden auch ein Insektizid verwenden , von dem sie glauben , dass es am besten für Ihr Zuhause und Ihre Familie funktioniert . 

Hormah Hormah | w_freq: 1 - 2 | wiki_freq: 13 - 0 | sentence_idx: 50464 | align_1: 6-6 | align_2: 7-11 |    They also attacked the Israelites at Hormah ( Num . ||| Sie griffen auch die Israeliten an Hormah ( Hormah ) an ( Num . 

Leticia leticia | w_freq: 5 - 1 | wiki_freq: 1244 - 4 | sentence_idx: 51234 | align_1: 6-6 | align_2: 7-11 |    Some of the girls lured from Leticia would disappear for a week or as long as three months , their parents told authorities . ||| Einige der mädchen , die aus leticia gelockt worden waren , würden für eine woche oder bis zu drei monate verschwinden , sagten ihre eltern den behörden . 

remuneration Vergütung | w_freq: 40 - 33 | wiki_freq: 2631 - 2432 | sentence_idx: 51262 | align_1: 18-16 | align_2: 19-21 |    Yes , it is not easy to justify by a single responsibility or even competence a range of remuneration also open between it and those ! ||| Ja , es ist nicht leicht , durch eine einzige Verantwortung oder gar eine Kompetenz eine Vergütung zu rechtfertigen , die auch zwischen ihr und denen offen ist ! 

Zeus Zeus | w_freq: 35 - 34 | wiki_freq: 10660 - 3989 | sentence_idx: 51783 | align_1: 17-13 | align_2: 18-18 |    ' He is jealous of humanity , which is a creation of his father , the deceased Zeus ' ||| Er ist eifersüchtig auf die Menschheit , die eine Schöpfung seines verstorbenen Vaters Zeus ist [ … ] " 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 51941 | align_1: 0-0 | align_2: 1-4 |    Remember that 20 % of people do not even feel bites . ||| Denken Sie daran , dass 20 % der Menschen nicht einmal die Bisse spüren . 

Whenever Jedes | w_freq: 273 - 1314 | wiki_freq: 5099 - 13430 | sentence_idx: 52250 | align_1: 0-0 | align_2: 1-4 |    Whenever int doubt it is best to take the cautious road . ||| Jedes Mal , WENN int Zweifel ist es am Besten , den vorsichtigen Weg zu nehmen . 

Assume Nehmen | w_freq: 10 - 569 | wiki_freq: 1638 - 469 | sentence_idx: 52297 | align_1: 0-0 | align_2: 1-4 |    Assume we need a 4 " offset , and that it must take place in exactly 15 " . ||| Nehmen wir an , wir brauchen einen 4 ' Offset , und das muss in genau 15 ' stattfinden . 

laughter Lachen | w_freq: 124 - 285 | wiki_freq: 5512 - 2710 | sentence_idx: 52556 | align_1: 4-4 | align_2: 5-8 |    So it ’s the laughter we ’ll remember when we remember the way we were . ” ||| Es ist also das Lachen , an das wir uns erinnern werden , wenn wir uns daran erinnern , wie wir waren . " 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 52559 | align_1: 0-0 | align_2: 1-4 |    Remember that women base their decisions on their emotions of the moment . ||| Denken sie daran , dass frauen ihre entscheidungen auf ihre emotionen des augenblicks stützen . 

Bone- Bone | w_freq: 2 - 10 | wiki_freq: 1 - 1365 | sentence_idx: 53474 | align_1: 0-0 | align_2: 1-7 |    Bone- Population 2 But still has gas station ||| Bone ( Knochen , Idaho ) - Bevölkerung 2 , Aber hat noch Tankstelle 

denies leugnet | w_freq: 123 - 101 | wiki_freq: 9296 - 578 | sentence_idx: 53703 | align_1: 4-3 | align_2: 5-7 |    He who says so denies evidence and lies to himself . ||| Und wer das leugnet , der lügt wissentlich und schamlos ! 

tweets Tweets | w_freq: 161 - 155 | wiki_freq: 4136 - 496 | sentence_idx: 54212 | align_1: 19-19 | align_2: 20-24 |    It has to be at least weekly that I see a woman on Twitter dealing with horrible , harassing tweets just for speaking her mind or making a joke ( usually both ) . ||| Es muss mindestens wöchentlich sein , dass ich auf Twitter eine Frau sehe , die mit schrecklichen , belästigenden Tweets zu tun hat , nur weil sie über ihre Gedanken gesprochen hat oder einen Witz gemacht hat ( normalerweise beide ) . 

imagine Stellt | w_freq: 1110 - 70 | wiki_freq: 9379 - 590 | sentence_idx: 54588 | align_1: 1-0 | align_2: 2-4 |    And imagine what it would feel like to lose 37 years of emotional baggage . ||| Stellt euch vor , wie es sich anfühlen würde , 37 Jahre emotionales Gepäck zu verlieren ! 

delighted freuen | w_freq: 288 - 1063 | wiki_freq: 6960 - 1321 | sentence_idx: 57025 | align_1: 2-1 | align_2: 3-6 |    We are delighted that you would like to support " PiA - Physics in Advent " with a donation . ||| wir freuen uns sehr darüber , dass Du " PiA - Physik im Advent " mit einer Spende unterstützen möchtest . 

announce ankündigen | w_freq: 318 - 56 | wiki_freq: 14722 - 354 | sentence_idx: 58316 | align_1: 5-5 | align_2: 6-9 |    “ We are delighted to announce that , at the conclusion of that process , Paolo will be joining as Chairman . ||| " Wir freuen uns , ankündigen zu können , dass Paolo nach Abschluss dieses Prozesses als Chairman beitreten wird . 

Hertogstraat Hertogstraat | w_freq: 1 - 1 | wiki_freq: 2 - 4 | sentence_idx: 59489 | align_1: 1-2 | align_2: 2-8 |    The Hertogstraat is one of the streets that completely or partially went up in flames in September 1944 . ||| “ De Hertogstraat ” ( die Herzogstraße ) ist eine der Straßen , die im September 1944 ganz oder teilweise in Flammen aufging . 

unbelievers Ungläubigen | w_freq: 66 - 123 | wiki_freq: 647 - 753 | sentence_idx: 59570 | align_1: 17-13 | align_2: 18-18 |    And so , do you see God ’s sovereignty in the principles by which He administers the unbelievers I just mentioned ? ||| Seht ihr also Gottes Herrschaft in den Prinzipien , nach denen Er die Ungläubigen verwaltet , von denen Ich eben sprach ? 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 59658 | align_1: 0-0 | align_2: 1-4 |    Remember that the note for teachers on page 231 reads : “ People can support or join movements for social change at the global level . ||| Denken Sie daran , dass die Note für Lehrer auf Seite 231 heißt es : " Die Menschen können Bewegungen für soziale Veränderungen auf globaler Ebene unterstützen oder beizutreten . 

Israelite derjenige | w_freq: 48 - 416 | wiki_freq: 3404 - 4709 | sentence_idx: 59916 | align_1: 11-10 | align_2: 12-14 |    saying to herself , supposedly ( scratch the useless mention ) Israelite , ||| verkündet werden mußte , daß der " Richter " Israels derjenige war , der es 

Israelite Israels | w_freq: 48 - 1587 | wiki_freq: 3404 - 7011 | sentence_idx: 59916 | align_1: 11-9 | align_2: 12-14 |    saying to herself , supposedly ( scratch the useless mention ) Israelite , ||| verkündet werden mußte , daß der " Richter " Israels derjenige war , der es 

thankful Dankgebet | w_freq: 566 - 6 | wiki_freq: 1541 - 96 | sentence_idx: 63218 | align_1: 5-6 | align_2: 6-11 |    These are commandments to be thankful . ||| - Über diese Gaben wird das Dankgebet gesprochen ( Hochgebet ) . 

Musa Moses | w_freq: 141 - 860 | wiki_freq: 11287 - 8409 | sentence_idx: 64736 | align_1: 12-22 | align_2: 13-31 |    And you were not on the western side when We revealed to Musa the ||| " Und du warst nicht auf der westlichen Seite ( des Berges ) , ( damals ) als wir die Entscheidung für Moses trafen ( und ihn zum Gesandten beriefen ) . 

Sorry Tut | w_freq: 109 - 64 | wiki_freq: 4849 - 346 | sentence_idx: 64954 | align_1: 4-5 | align_2: 5-9 |    Benny added : " Sorry if I distracted everyone , but we get asked this question at every interview since 1982 . ||| Benny fügte hinzu : " Tut mir leid , wenn ich jeden beunruhigt habe , aber diese Frage wird uns bei jedem Interview seit 1982 gestellt . 

submissive unterwürfige | w_freq: 39 - 6 | wiki_freq: 2000 - 81 | sentence_idx: 65390 | align_1: 9-9 | align_2: 10-14 |    c ) When you stated that you wanted a submissive who held similar non-kinky interests as you I was pleased . ||| C ) als du feststellst , dass du eine unterwürfige person haben wolltest , die ähnliche nicht-kinky interessen hat wie du , war ich zufrieden . 

Document 3D-Dokument | w_freq: 84 - 1 | wiki_freq: 4284 - 0 | sentence_idx: 66408 | align_1: 8-6 | align_2: 9-11 |    There are three ways to redefine a 3D Document after you have created it . ||| Es gibt drei Möglichkeiten , das 3D-Dokument neu zu definieren , nachdem Sie es erstellt haben . 

forget vergessen | w_freq: 1965 - 2293 | wiki_freq: 12667 - 8668 | sentence_idx: 68476 | align_1: 3-1 | align_2: 4-6 |    And do n’t forget there are more people than ever before whose explicit role in our economy is to make things better — more government agencies , more programs and more bureaucrats . ||| Und vergessen Sie nicht , dass es mehr Menschen als je zuvor gibt , deren explizite Rolle in unserer Wirtschaft es ist , Dinge besser zu machen – mehr Behörden , mehr Programme und mehr Bürokraten . 

delighted freue | w_freq: 288 - 565 | wiki_freq: 6960 - 346 | sentence_idx: 69542 | align_1: 2-1 | align_2: 3-5 |    I am delighted that Sanofi is doing this in such an impressive way . " ||| Ich freue mich sehr , dass Sanofi dies in so beeindruckender Weise tut . " 

bother stößt | w_freq: 120 - 34 | wiki_freq: 2692 - 7219 | sentence_idx: 69726 | align_1: 4-4 | align_2: 5-8 |    I hope somebody will bother to ask him this ‎question because it illustrates a simple truth : The core of the conflict is not the ‎settlements . ||| Ich hoffe irgend jemand stößt sich daran , um ihn diese Frage zu stellen , weil sie eine einfache Wahrheit beleuchtet : Der Kern des Konfliktes sind nicht die Siedlungen . 

covenant Gebote | w_freq: 119 - 153 | wiki_freq: 5181 - 2751 | sentence_idx: 70226 | align_1: 1-2 | align_2: 2-9 |    Our covenant is built upon better promises than that of Moses . ||| Ihr ( Gebote , Statuten und Satzungen ) Zweck ist es , unser Wohlergehen zu fördern , wie es Moses ( Deut . 

plugins Plugins | w_freq: 63 - 51 | wiki_freq: 1923 - 437 | sentence_idx: 70546 | align_1: 5-4 | align_2: 6-9 |    You can also consider additional plugins that might be helpful for specific languages or regions . ||| Sie können auch zusätzliche Plugins in Erwägung ziehen , die für bestimmte Sprachen oder Regionen hilfreich sein können . 

Try Versuchen | w_freq: 517 - 521 | wiki_freq: 4708 - 6629 | sentence_idx: 70869 | align_1: 0-0 | align_2: 1-5 |    Try asking him what he really feels when he has limit for spending . ||| Versuchen Sie , ihn zu fragen , was er wirklich fühlt , wenn er Grenze für die Ausgaben hat . 

Polaris polaris | w_freq: 12 - 4 | wiki_freq: 5198 - 29 | sentence_idx: 70940 | align_1: 9-10 | align_2: 10-15 |    He tells her that the only way to help Polaris is to approach the Banshee she encountered previously . ||| Er sagt ihr , dass der einzige weg , um polaris zu helfen , darin besteht , sich dem banshee zu nähern , dem sie zuvor begegnet ist . 

Banshee banshee | w_freq: 3 - 1 | wiki_freq: 1472 - 2 | sentence_idx: 70940 | align_1: 14-19 | align_2: 15-24 |    He tells her that the only way to help Polaris is to approach the Banshee she encountered previously . ||| Er sagt ihr , dass der einzige weg , um polaris zu helfen , darin besteht , sich dem banshee zu nähern , dem sie zuvor begegnet ist . 

haiku Haiku-Buch | w_freq: 11 - 1 | wiki_freq: 1759 - 1 | sentence_idx: 71487 | align_1: 11-9 | align_2: 12-15 |    You know , my own universe might be a book of haiku . ||| Wisst ihr , mein eigenes Universum könnte auch ein Haiku-Buch sein [ japanische Kurzgedichte ] . 

womb Leibes | w_freq: 19 - 24 | wiki_freq: 3054 - 443 | sentence_idx: 71489 | align_1: 7-6 | align_2: 8-12 |    and blessed is the fruit of thy womb ; Jesus . ||| und gebenedeit ist die Frucht Deines Leibes ( Begegnung mit Gott ) , JESUS , ( der Erlöser ) … 

Sorry Tut | w_freq: 109 - 64 | wiki_freq: 4849 - 346 | sentence_idx: 72589 | align_1: 0-0 | align_2: 1-4 |    Sorry but I can not relay 12 years of job experience on a forum . ||| Tut mir leid , aber ich kann 12 jahre berufserfahrung nicht in einem forum vermitteln . 

sportsbooks Sportwett-Anbietern | w_freq: 4 - 2 | wiki_freq: 81 - 0 | sentence_idx: 72735 | align_1: 15-14 | align_2: 16-19 |    " More Americans than ever before will be able to place their bets with legal sportsbooks now operating in eight states . " ||| Mehr Amerikaner als je zuvor werden in der Lage sein , Wetten mit legalen Sportwett-Anbietern zu tätigen , die jetzt in 8 Staaten operieren . “ 

liar Lügner | w_freq: 158 - 290 | wiki_freq: 2296 - 731 | sentence_idx: 73157 | align_1: 4-4 | align_2: 5-8 |    for he is a liar and the father of lies . ” ||| denn er ist ein Lügner ( Notlügner ) und ein Vater derselben , die ihm nachfolgen ) . 

aliases Decknamen | w_freq: 3 - 4 | wiki_freq: 2584 - 2477 | sentence_idx: 74057 | align_1: 5-5 | align_2: 6-9 |    [ People often withdraw using aliases to avoid any harassment of themselves or their families by agents of the communist regime . ||| [ Die Menschen benutzen oft Decknamen beim Austritt , um Schikanen gegenüber ihnen selbst oder ihren Familien durch Agenten des kommunistischen Regimes zu vermeiden . 
