Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
Schwan Schwan | w_freq: 2 - 2 | wiki_freq: 367 - 3 | sentence_idx: 936287 | align_1: 7-8 | align_2: 8-12 | entity: Gesine Schwan - none |    Fighting for Europe : political scientist Gesine Schwan explains how to make the EU appeal to young people again . ||| 为 欧洲 而 奋斗 ： 政治 学者 Gesine Schwan （ 格西娜·施万 ） 谈 如何 让 欧盟 重新 吸引 年轻人 。 

GPON GPON | w_freq: 6 - 6 | wiki_freq: 95 - 14 | sentence_idx: 937542 | align_1: 8-9 | align_2: 9-15 | entity: GPON - none |    It is worth noting that both EPON and GPON are moving into the era of 10G. ||| 值得 关注 的 是  ， 无论 EPON 还是 GPON    ， 都 在 向 10G 的 时代 迈进  。 

Desmukh Desmukh | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 937780 | align_1: 3-4 | align_2: 4-9 | entity: Fahad Desmukh - Fahad Desmukh |    @desmukh ( Fahad Desmukh ): Parveen Rehman : “ We said all that you can do is kill us . ||| @ desmukh ( Fahad Desmukh ) [ 28 ] : Parveen Rehman : “ 你们 能 做 的 就 只 剩杀 了 我们 。 

SubhanAllah si | w_freq: 1 - 10 | wiki_freq: 3 - 224 | sentence_idx: 946705 | align_1: 17-17 | align_2: 18-22 | entity: SubhanAllah - none |    They saw the Arabic , they recite the English for you and [ they say ] , SubhanAllah . ||| see you again 的 英式 发音 [ si : ju : əˈ ��en] ， 美式 发音 [ si ju əˈ �� ɛn] 。 

Markovic Markovic | w_freq: 2 - 1 | wiki_freq: 316 - 3 | sentence_idx: 947290 | align_1: 1-1 | align_2: 2-5 | entity: Marina Markovic - none |    Marina Markovic posted three childhood pictures of herself : ||| Marina Markovic [ 3 ] 公布 三 张 自己 小时候 的 照片 ： 

bolton 戴夫·博尔顿 | w_freq: 1 - 2 | wiki_freq: 19 - 0 | sentence_idx: 951529 | align_1: 16-16 | align_2: 17-21 | entity: none - 戴夫·博尔顿 |    After being diagnosed with a glioblastoma multiform 4 brain tumor in july of 2015 , dave bolton took matters into his own hands . ||| 在 2015年 7月 被 诊断 患有 胶质 母细胞 瘤 多 形性 4 脑 肿瘤 之后 ， 戴夫·博尔顿 （ Dave Bolton ） 将 自己 的 事情 交给 了 自己 的 手中 。 

Maha’ulepu 瓣� | w_freq: 13 - 1 | wiki_freq: 0 - 0 | sentence_idx: 952991 | align_1: 0-1 | align_2: 1-7 | entity: Maha’ulepu - none |    Maha’ulepu was healing . ||| 杨叶曲 瓣� �木 （ 变种 ） 一定 能 治好 

Maha’ulepu �木 | w_freq: 13 - 1 | wiki_freq: 0 - 0 | sentence_idx: 952991 | align_1: 0-2 | align_2: 1-7 | entity: Maha’ulepu - none |    Maha’ulepu was healing . ||| 杨叶曲 瓣� �木 （ 变种 ） 一定 能 治好 

Radagast 表兄拉达加斯特 | w_freq: 4 - 3 | wiki_freq: 92 - 0 | sentence_idx: 955455 | align_1: 24-23 | align_2: 25-27 | entity: Radagast - none |    " I have heard of you , if you have not heard of me ; but perhaps you have heard of my good cousin Radagast who lives near the Southern borders of Mirkwood ? " ||| “ 我 听说 过 你    ， 如果 你 没有 听说 过 我 ； 也许 你 听说 过 我 的 好 表兄拉达加斯特   ， 他 住在 米尔克伍德 南部 边境 附近   。 

gTLDs gTLD | w_freq: 10 - 22 | wiki_freq: 121 - 6 | sentence_idx: 956740 | align_1: 34-35 | align_2: 35-43 | entity: none - 新 gTLD |    Although not all commenters have identified themselves as end-users , consumers , or otherwise , it appears that various end users have submitted comments including statements both for and against the introduction of new gTLDs . ||| 尽管 并非 所有 的 评论者 都 明确 表示 自己 属于 终端 用户 、 消费者 或者 其他 身份 ， 但 可以 看出 ， 各种 终端 用户 都 提交 了 意见 ， 其中 有 支持 引入 新 gTLD 的 ， 也 有 表示 反对 的 。 

Juncker 容克 | w_freq: 22 - 17 | wiki_freq: 807 - 224 | sentence_idx: 961095 | align_1: 1-1 | align_2: 2-7 | entity: Juncker - 容克 |    Mr Juncker added : " I have the impression sometimes that our British friends … underestimate the technical difficulties we have to face . ||| ” 容克 说 道 ， 他 还 补充 称    ， “ 我 有时 觉得 我们 的 英国 朋友 低估 了 我们 所 面临 的 技术 困难  。 

Juncker 容克 | w_freq: 22 - 17 | wiki_freq: 807 - 224 | sentence_idx: 961096 | align_1: 1-1 | align_2: 2-6 | entity: Juncker - 容克 |    Mr Juncker added : " I have the impression sometimes that our British friends … underestimate the technical difficulties we have to face . ||| ” 容克 说道 ， 他 还 补充 称 ， “ 我 有时 觉得 我们 的 英国 朋友 低估 了 我们 所 面临 的 技术 困难 。 

8317 8317 | w_freq: 1 - 1 | wiki_freq: 8 - 10 | sentence_idx: 961241 | align_1: 3-2 | align_2: 4-7 | entity: ISO 8317 - none |    As in ISO 8317 , there is a two part test procedure in which it must be proven that infants aged 42 to 51 months can not open the packaging while people between 50 and 70 years should be able to . ||| 在 ISO 8317 （ 2003 ） 中 ， 有 两 个 部分 的 测试 程序 ， 必须 证明 42 到 51 个 月 的 婴儿 不 能 打开 包装 ， 而 50 到 70 岁 的 人 应该 能够 打开 包装 。 

Adrenalize Adrenalize | w_freq: 1 - 1 | wiki_freq: 83 - 1 | sentence_idx: 970628 | align_1: 6-12 | align_2: 7-16 | entity: Adrenalize - none |    Def Leppard 's fifth album , Adrenalize , was finally released on 31 March 1992 . ||| DEF LEP PARD 的 第五 张 专辑    ， 《 Adrenalize 》   ， 终于 于 1992年 3月 31日 发行  。 

Vaynerchuck Vaynerchuck | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 976671 | align_1: 2-2 | align_2: 3-9 | entity: Gary Vaynerchuck - Gary Vaynerchuck |    Although Gary Vaynerchuck claims to work 20 hours per day , many “ highly successful ” people I know work between 3–6 hours per day . ||| 尽管 Gary Vaynerchuck （ 美国 知名 博客 作者 ） 声称 每天 工作 20 小时 ， 我 所 知 的 许多 “ 相当 成功 ” 的 人士 每天 大约 只 工作 3 到 6 个 小时 。 

Mikkeli Mikkeli | w_freq: 1 - 1 | wiki_freq: 399 - 0 | sentence_idx: 978992 | align_1: 13-15 | align_2: 14-20 | entity: Mikkeli - none |    Fortunately for me and the others in the small southern Finnish town of Mikkeli , this is just a rehearsal – preparation for an exercise the following day that will simulate a chemical attack . ||| 幸运 的 是 ， 对 我 和 其他 在 芬兰 南部 小 城米 凯利 （ Mikkeli ） 的 人 来说 ， 这 只是 一 次 预演 ， 为 第二 天 的 化学 攻击 演习 做 准备 。 

Tevi Tevi | w_freq: 1 - 1 | wiki_freq: 84 - 0 | sentence_idx: 987972 | align_1: 9-9 | align_2: 10-14 | entity: Sam Tevi - Tevi |    Trent Scott will remain at right tackle with Sam Tevi unlikely to play Monday . ||| 特伦特·斯科特 （ Trent Scott ） 将 继续 与 山姆·特维（Sam Tevi ） 搭right ， 不大 可能 在 周一 出战 。 

Artemyev Artemyev | w_freq: 2 - 2 | wiki_freq: 182 - 1 | sentence_idx: 992953 | align_1: 2-4 | align_2: 3-8 | entity: Artemyev - none |    According to Artemyev , once established and approved tariffs due to inflation will decrease in 90 % of cases . ||| ” 根据 阿特米耶夫 （ Artemyev ） 的 说法 ， 一旦 确定 并 批准 了 由于 通货膨胀 导致 的 关税 ， 这种 情况 将 减少 90％ 。 

Santena Santena | w_freq: 1 - 1 | wiki_freq: 30 - 0 | sentence_idx: 996381 | align_1: 7-9 | align_2: 8-13 | entity: Santena - Santena   , |    2A ’s parent company is headquartered in Santena near Turin . ||| 据悉   ,2a 的 母公司 总部 设 在 Santena   , 毗邻 都 灵      。 

