Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
Romanek Romanek | w_freq: 2 - 2 | wiki_freq: 319 - 2 | sentence_idx: 718350 | align_1: 3-9 | align_2: 4-17 | entity: Mark Romanek - none |    For director Mark Romanek ( “ One Hour Photo , ” “ Never Let Me Go ” ) , virtual reality has long been a fixation . ||| 比 后台 还 好 　 对 导演 马克·罗曼尼克 【 Mark Romanek ， 代表作 《 一 小时 快相 》 ( One Hour Photo ) 、 《 别 让 我 走 》 ( Never Let Me Go ) 】 来说 ， 虚拟 现实 是 一个 长期以来 的 执念 。 

Eads 詹姆斯·布坎南 | w_freq: 4 - 2 | wiki_freq: 776 - 64 | sentence_idx: 719206 | align_1: 4-1 | align_2: 5-8 | entity: James Buchanan Eads - 詹姆斯·布坎南 |    Just like James Buchanan Eads took a vision and turned it into something truly spectacular — now we must do the same as we carry the spirit of the Eads Bridge , the spirit of Washington University , and the spirit of St. Louis forward . ||| 正如 詹姆斯·布坎南 一样 ， 欧洲 宇航 防务 集团 有 远见 卓识 ， 并 把 它 变成 了 真正 的 奇观 —— 现在 我们 必须 做 同样 的 事情 ， 因为 我们 要 发扬 欧洲 宇航 防务 集团桥 的 精神 、 华盛顿 大学 的 精神 和 圣路易斯 前进 的 精神 。 

Teshima Teshima非法 | w_freq: 1 - 1 | wiki_freq: 188 - 0 | sentence_idx: 724154 | align_1: 4-2 | align_2: 5-10 | entity: Teshima - none |    In 2005 , Our Teshima Illegal Waste Dump Raw Material Recovery System won the Minister of Economy , Trade and Industry Prize at the Excellent Environmental Equipment Awards . ||| 2005年 ， Teshima非法 废物 转储 原料 回收 系统 （ Teshima Illegal Waste Dump Raw Material Recovery System ） 在 优秀 环境 设备 奖 中 获得 了 经济 ， 贸易 和 工业 部长 奖 。 

ALAN 艾伦 | w_freq: 2 - 132 | wiki_freq: 84 - 1828 | sentence_idx: 729368 | align_1: 2-1 | align_2: 3-6 | entity: ALAN WEISMAN - 艾伦 ． 魏斯曼 |    Speaker : ALAN WEISMAN , Author , The World Without Us . ||| 」 艾伦 ． 魏斯曼 （ Alan Weisman ） ， 《 没有 我们 的 世界 》 （ The World without Us ） 作者 

WEISMAN 魏斯曼 | w_freq: 2 - 3 | wiki_freq: 2 - 26 | sentence_idx: 729368 | align_1: 3-3 | align_2: 4-8 | entity: ALAN WEISMAN - 艾伦 ． 魏斯曼 |    Speaker : ALAN WEISMAN , Author , The World Without Us . ||| 」 艾伦 ． 魏斯曼 （ Alan Weisman ） ， 《 没有 我们 的 世界 》 （ The World without Us ） 作者 

Scripture 圣经 | w_freq: 233 - 1632 | wiki_freq: 5477 - 11680 | sentence_idx: 736557 | align_1: 20-17 | align_2: 21-25 | entity: Scripture - none |    We forget that we were never promised a twenty-year plan of action ; instead , God promises multiple times in Scripture never to leave or forsake us . ||| 我们 忘记 了 上帝 从来 没有 应许 我们 一个 20年 行动 计划 ， 但是 ， 上帝 在 圣经 中 多次 应许 说 ： 他 永远 不 离开 我们 ， 也 不 丢弃 我们 。 

ACUMEN ACUMEN | w_freq: 2 - 4 | wiki_freq: 4 - 0 | sentence_idx: 736678 | align_1: 8-11 | align_2: 9-16 | entity: ACUMEN - ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 |    Allegis Global Solutions developed its analytics program , ACUMEN Workforce Intelligence , with the goal of understanding three things : How are programs performing ? ||| Allegis Global Solutions 公司 开发 了 一个 分析 项目 ， 即 ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 ， 其 目标 是 掌握 三 件 事情 ： 项目 是 如何 执行 的 ? 

Healthcare.gov gov | w_freq: 3 - 16 | wiki_freq: 44 - 30 | sentence_idx: 739087 | align_1: 9-11 | align_2: 10-16 | entity: Healthcare.gov - HealthCare . gov |    " His experience at Microsoft , recent work on Healthcare.gov and work with startups here in Seattle give him a unique perspective for this new role . " ||| “ 他 在 微软 的 经历 ， 最近 在 HealthCare . gov 上 的 工作 ， 以及 在 西雅图 与 创业 公司 合作 ， 为 他 的 这 一 新 角色 提供 了 独特 的 视角 。 

WHO WHO | w_freq: 418 - 148 | wiki_freq: 13165 - 936 | sentence_idx: 740331 | align_1: 4-3 | align_2: 5-9 | entity: WHO - none |    On April 10 , WHO publicly criticized Beijing 's epidemic reporting policy : " In Beijing , only a few hospitals report SARS cases on a daily basis . ||| 4月 10日 ， WHO （ 世界 卫生 组织 ） 公开 批评 北京 的 疫情 报告 系统 : “ 北京 只有 少数 医院 每日 汇报 SARS 病例 。 

Congolese 刚果 | w_freq: 31 - 149 | wiki_freq: 8180 - 2933 | sentence_idx: 740670 | align_1: 8-4 | align_2: 9-8 | entity: Congolese - 刚果 |    Secondly , we will promote cooperation with the Congolese government , civil society organizations and affected local communities to take action and/or support related actions to address and resolve risks and challenges in the cobalt supply chain . ||| 其次 , 推动 与 刚果 ( 金 ) 政府 、 民间 组织 及 受 影响 的 当地 社区 开展 合作 , 采取 行动 和 / 或 支持 相关 行动 , 共同 应对 并 化解 钴 供应链 上 的 风险 与 挑战 。 

Levinson Levinson | w_freq: 10 - 5 | wiki_freq: 2896 - 46 | sentence_idx: 741525 | align_1: 2-5 | align_2: 3-19 | entity: Sanford Levinson - none |    See Sanford Levinson , Our Undemocratic Constitution : Where the Constitution Goes Wrong ( and How We … ||| 美国 左派 法学 教授 Sanford Levinson 专门 著书 抨击 美国 宪法 的 不 民主 的 地方 ， 所谓 （ 《 我们 不 民主 的 宪法 》 （ Our Undemocratic Constitution : Where the Constitution Goes Wrong,And How We the People Can Correct It ） 。 

Khrushchev 赫鲁晓夫 | w_freq: 28 - 21 | wiki_freq: 6023 - 1500 | sentence_idx: 749023 | align_1: 2-0 | align_2: 3-6 | entity: Khrushchev - 赫鲁晓夫 |    Enraged , Khrushchev insulted the artists and demanded a return to “ normal , ” healthy , positive art . ||| 赫鲁晓夫 被 激怒 了 ， 他 辱骂 这些 艺术家 ， 要求 回归 “ 正常 ” 、 健康 ， 积极 的 艺术 。 

Janoff Jan | w_freq: 1 - 80 | wiki_freq: 27 - 990 | sentence_idx: 752019 | align_1: 4-6 | align_2: 5-10 | entity: Rob Janoff - none |    However , designer Rob Janoff admitted to a much more prosaic reason behind the decision . ||| 然而 ， 设计师 罗布·亚诺夫 （ Rob Jan of f ） 承认 这 一 决定 背后 有 更为 平淡无奇 的 理由 。 

Agenda 议程 | w_freq: 187 - 881 | wiki_freq: 4906 - 1755 | sentence_idx: 752244 | align_1: 11-9 | align_2: 12-14 | entity: 2030 Agenda - none |    Two other major outcomes in 2015 are integral to the 2030 Agenda : ||| 2015年 还有 以下 两 大 成果 是 《 2030年 议程 》 不可分割 的 一部分 ： 

Tibetans 西藏人 | w_freq: 144 - 34 | wiki_freq: 3366 - 169 | sentence_idx: 758070 | align_1: 16-14 | align_2: 17-23 | entity: Tibetans - 西藏人 |    However , for the past thirty years or more the Chinese have looked down on the Tibetans as objects of slavery and oppression and intentionally deprived them of the precious opportunities for proper education . ||| 然而 ， 在 过去 的 三十 年 或 更 早 以前 ， 中国人 看不起 西藏人 的 文化 ， 而 把 西藏 人物化 看 为 奴隶 ， 压迫 他们 并 企图 剥夺 他们 接受 适当 教育 的 宝贵 机会 。 

AXS AXS | w_freq: 1 - 1 | wiki_freq: 754 - 1 | sentence_idx: 765150 | align_1: 11-8 | align_2: 12-13 | entity: AXS - none |    Tickets go on sale today at 10 am from Ticketmaster and AXS so do n't hang around . ||| 门票 这 日 上午 10点 从 Ticketmaster 和 AXS 入手 下手 出售 ， 因此 不要 闲荡 。 

FFXV FFXV | w_freq: 3 - 3 | wiki_freq: 4 - 3 | sentence_idx: 768689 | align_1: 11-13 | align_2: 12-18 | entity: FFXV - none |    I can not talk about the details , but like “ FFXV , ” I will create a game based on a new world drawn with high quality , high end . ||| “ 我 不 能 谈论 细节   ， 但 就 像 《 FFXV 》 一样   ， 我 将 创造 一 款 基于 全新 世界 的 高 质量 高端 游戏   。 

CIVILIZATIONS 文明 | w_freq: 1 - 1098 | wiki_freq: 0 - 13476 | sentence_idx: 769172 | align_1: 2-6 | align_2: 3-17 | entity: CIVILIZATIONS - none |    THE FIRST CIVILIZATIONS : The Archaeology of Their Origins . ||| 这 本书 就是 从 考古学 来看 文明 的 起源 ， 英文 名 为 “ The First Civilizations ： The Archaeology of Their Origins " 。 

Gallup Gallup | w_freq: 51 - 14 | wiki_freq: 3918 - 29 | sentence_idx: 769577 | align_1: 2-3 | align_2: 3-8 | entity: Gallup - 盖洛普 ( Gallup |    In a Gallup survey , the number reached 60 percent in 2003 , up substantially from previous decades . ||| 在 盖洛普 ( Gallup ) 的 一 项 调查 中 ， 这个 数字 在 2003年 达到 60% ， 比 过去 几十 年 有 了 大幅 上升 。 

Hetty 海蒂 | w_freq: 3 - 1 | wiki_freq: 1008 - 0 | sentence_idx: 769888 | align_1: 4-3 | align_2: 5-8 | entity: Hetty - 海蒂 |    Here 's Judith and Hetty to take care of , to say nothing of our own top-knots ; and , for my part , I can sleep as well in the dark as I could under a noonday sun . ||| 这是 朱迪丝 和 海蒂   ， 更 不用说 我们 自己 的 顶结 ； 而且   ， 就 我 而言  ， 我 可以 在 黑暗 中 睡觉    ， 就 像 在 正午 的 太阳 下 睡觉 一样   。 

Races Races | w_freq: 7 - 3 | wiki_freq: 6658 - 30 | sentence_idx: 772107 | align_1: 17-28 | align_2: 18-32 | entity: Birdsville Races - none |    In the first week of September the population swells from 100 to over 5000 for the Birdsville Races . ||| 在 九月 的 第一 个 星期 ， 这里 的 人口 会 从 100 人 暴增 至 超过 5000 人 ， 都 是 为了 伯兹维尔 赛马 大会 （ Birdsville Races ） 而 来 。 

Accord 协定 | w_freq: 30 - 1284 | wiki_freq: 6528 - 11793 | sentence_idx: 774597 | align_1: 15-13 | align_2: 16-18 | entity: Paris Climate Accord - none |    Even if agreement is reached on those details , the success of the Paris Climate Accord ultimately depends on national governments taking , and enforcing , steps to reduce the reliance on fossil fuels . ||| 即使 各国 就 这些 细节 问题 达成 了 一致 ， 《 巴黎 气候 协定 》 是否 能 成功 最终 还 得 取决于 各国 政府 采取 什么 措施 、 怎样 落实 以 减少 对 化石 燃料 的 依赖 。 

Basket Basket | w_freq: 9 - 3 | wiki_freq: 9970 - 31 | sentence_idx: 777149 | align_1: 20-34 | align_2: 21-38 | entity: Waste Basket - none |    His Wife , The Painter , The Old Man On The Corner , The Paper On The Floor , Waste Basket ( broadsides contained in Coffin # 1 ) ||| His Wife The Painter （ 他 的 画家 妻子 ） , The Old Man On The Corner （ 街头 老人 ） , The Paper On The Floor （ 地上 的 报纸 ） , Waste Basket （ 垃圾筐 ） ( Coffin #1 中 的 单面 折子 ) 

Rohrabacher Rohrabacher | w_freq: 3 - 2 | wiki_freq: 409 - 6 | sentence_idx: 781835 | align_1: 20-15 | align_2: 21-19 | entity: Rohrabacher - none |    Indeed , the war party policy of antagonizing Russia has caused a great deal of great harm , according to Rohrabacher our rejection of a deal proffered by Putin regarding Syria five years ago has come at the cost of hundreds of thousands of lives and millions of displaced persons . ||| 事实上 ， 对抗 俄罗斯 的 战党 政策 造成 了 很 大 的 伤害 ， 根据 Rohrabacher 的 说法 ， 我们 拒绝 普京 在 五 年前 就 叙利亚 提出 的 一 笔 交易 已经 付出 了 数十万 人 的 生命 和 数以百万计 的 流离失所者 的 代价 。 

Lerner Lst[ | w_freq: 10 - 2 | wiki_freq: 4063 - 0 | sentence_idx: 782779 | align_1: 6-4 | align_2: 7-9 | entity: Lerner - none |    When in doubt , go with Lerner and Loewe . ||| 特别 要 注意 一下 Lst[ [ 1 ] ] 和 Lst[ 1 ] 的 差别 。 

Khamenei Khamenei | w_freq: 27 - 4 | wiki_freq: 2087 - 3 | sentence_idx: 783900 | align_1: 15-13 | align_2: 16-17 | entity: Khamenei - none |    The woman is guilty of spreading information against the state , espionage and insults to Khamenei . ||| 该 女子 犯有 传播 信息 反对 国家 、 间谍 和 侮辱 哈梅内伊 （ Khamenei ） 的 罪行 。 

SE SE | w_freq: 44 - 41 | wiki_freq: 10143 - 457 | sentence_idx: 784339 | align_1: 1-1 | align_2: 2-8 | entity: Macintosh SE - none |    Macintosh SE " System Expansion " , a personal computer manufactured by Apple ||| Macintosh SE （ 英语 ： Macintosh SE ） “ System Expansion ” ， 苹果 公司 制造 的 个人 计算机 

Gruene 众体 | w_freq: 1 - 1 | wiki_freq: 103 - 4 | sentence_idx: 787154 | align_1: 5-6 | align_2: 6-11 | entity: Gruene - none |    And the little town of Gruene is one of the best on the list . ||| 」 [ 68 ] 诗 乃 众体 之 精 ， 诗 是 各 文体 中 最 美的 。 

Marcal 马卡 | w_freq: 5 - 8 | wiki_freq: 62 - 136 | sentence_idx: 789173 | align_1: 17-14 | align_2: 18-20 | entity: Marcal - 马卡 |    “ Our top priority in the coming days and weeks will be to support our associates at Marcal whose lives will be directly impacted by this disaster . ” ||| 我们 未来 几 天 和 几周 的 首要 任务 将 是 支持 我们 在 马卡 的 同事   ， 他们 的 生活 将 直接 受到 这 场 灾难 的 影响   。 

Marcal 马卡 | w_freq: 5 - 8 | wiki_freq: 62 - 136 | sentence_idx: 789174 | align_1: 17-14 | align_2: 18-21 | entity: Marcal - 马卡 |    “ Our top priority in the coming days and weeks will be to support our associates at Marcal whose lives will be directly impacted by this disaster . ” ||| 我们 未来 几 天 和 几周 的 首要 任务 将 是 支持 我们 在 马卡 的 同事    ， 他们 的 生活 将 直接 受到 这 场 灾难 的 影响   。 

Marcal 马卡 | w_freq: 5 - 8 | wiki_freq: 62 - 136 | sentence_idx: 789175 | align_1: 17-14 | align_2: 18-19 | entity: Marcal - 马卡 |    “ Our top priority in the coming days and weeks will be to support our associates at Marcal whose lives will be directly impacted by this disaster . ” ||| 我们 未来 几 天 和 几周 的 首要 任务 将 是 支持 我们 在 马卡 的 同事  ， 他们 的 生活 将 直接 受到 这 场 灾难 的 影响   。 

Bitcoins 比特币 | w_freq: 27 - 746 | wiki_freq: 83 - 1018 | sentence_idx: 793387 | align_1: 5-4 | align_2: 6-9 | entity: Bitcoins - none |    Instead , they are hoarding Bitcoins as if it were virtual gold , a new way to store money outside the control of any government or company . ||| 相反 ， 他们 把 比特币 囤积 起来 —— 就 好像 是 虚拟 的 黄金 一样 ， 这是 一 种 把 钱 存在 任何 政府 或 公司 控制 之外 的 新 方式 。 

WIPO WIPO | w_freq: 98 - 77 | wiki_freq: 1104 - 30 | sentence_idx: 798535 | align_1: 3-2 | align_2: 4-10 | entity: WIPO - WIPO |    In consultation with WIPO , the Council shall seek to establish , within one year of its first meeting , appropriate arrangements for cooperation with bodies of that Organization . ||| 经 与 WIPO （ 世界 知识 产权 组织 ） 磋商 ， 理事会 应 寻求 在 其 第一 次 会议 后 一 年内 达成 与 该 组织 各 机构 进行 合作 的 适当 安排 。 

WHO WHO | w_freq: 418 - 148 | wiki_freq: 13165 - 936 | sentence_idx: 801735 | align_1: 4-3 | align_2: 5-9 | entity: WHO - none |    On April 10 , WHO publicly criticized Beijing ’s epidemic reporting policy : “ In Beijing , only a few hospitals report SARS cases on a daily basis . ||| 4月 10日 ， WHO （ 世界 卫生 组织 ） 公开 批评 北京 的 疫情 报告 系统 ： “ 北京 只有 少数 医院 每日 汇报 SARS 病例 。 

Networking Net | w_freq: 50 - 258 | wiki_freq: 2105 - 2385 | sentence_idx: 801866 | align_1: 23-20 | align_2: 24-25 | entity: Networking - none |    This technology , which they call “ WiSee , ” is to appear at The 19th Annual International Conference on Mobile Computing and Networking . ||| 这项 技术 ， 他们 称之为 「 WiSee 」 ， 已 递交 给 第十九 届 International Conference on Mobile Computing and Net working （ MobiCom ） 。 

Prophecy 宣道士 | w_freq: 24 - 2 | wiki_freq: 2697 - 1 | sentence_idx: 805300 | align_1: 1-4 | align_2: 2-8 | entity: Bible Prophecy - none |    Bible Prophecy reveals God 's Judgment and Wrath on mankind as well as Satan 's wrath on mankind . ||| 圣经 内 的 全部 宣道士 ， 都 曾 宣讲 审判 和 地狱 ， 以及 神对 罪孽 的 忿怒 。 

McNear McNear | w_freq: 1 - 2 | wiki_freq: 136 - 0 | sentence_idx: 807422 | align_1: 1-1 | align_2: 2-8 | entity: Howard McNear - none |    Howard McNear as Dr. Dompierre ||| Howard McNear （ 英语 ： Howard McNear ） 饰 Dr . Dompierre 

Markets Markets | w_freq: 204 - 40 | wiki_freq: 8435 - 65 | sentence_idx: 813734 | align_1: 7-7 | align_2: 8-11 | entity: Frontier Markets - none |    She launched her own company , Frontier Markets , to bring safe and affordable clean energy to the northwestern region of Rajasthan , where she spends most of her time . ||| 她 成立 了 自己 的 公司 Frontier Markets （ 前线 市场 ） ， 把 安全 和 实惠 的 清洁 能源 带到 拉贾斯坦邦 的 西北部 ， 她 大部分 时间 都 在 那儿 。 

FATCA FATCA | w_freq: 13 - 14 | wiki_freq: 195 - 5 | sentence_idx: 816453 | align_1: 22-17 | align_2: 23-21 | entity: FATCA - none |    Yes , a handful of banks have turned their backs on US citizens , but most offshore banking institutions have complied with FATCA to keep their US clientele . ||| 是的 ， 少数 银行 拒绝 了 美国 公民 ， 但 大多数 离岸 银行 机构 都 遵守 了 FATCA 的 规定 ， 以 保留 其 美国 客户 。 

Rage Rage | w_freq: 12 - 8 | wiki_freq: 8038 - 148 | sentence_idx: 816870 | align_1: 8-7 | align_2: 9-13 | entity: Days of Rage - none |    A reader of Bryan Burrough ’s Days of Rage would find that between 1971 and 1972 , there were some 2500 politically motivated bombings in the United States . ||| 读 过 Bryan Burrough 《 Days of Rage 》 一 书 的 人 会 发现 ， 1971年 至 1972年 间 ， 美国 有 约莫 2500 起 出于 政治 倾向 的 爆炸 事件 。 

Morneau Morneau | w_freq: 4 - 4 | wiki_freq: 577 - 3 | sentence_idx: 825623 | align_1: 5-6 | align_2: 6-10 | entity: Bill Morneau - none |    According to Finance Minister Bill Morneau , this is the single largest investment in investigator-led fundamental research in Canadian history . ||| 据 财政 部长 比尔·莫诺 ( Bill Morneau ) 所 说 ， 这是 加拿大 历史 上 ， 由 研究者 主导 的 基础 研究 中 最 大 的 一 项 投资 。 

Qur’ân 古兰经 | w_freq: 4 - 345 | wiki_freq: 1 - 2268 | sentence_idx: 825625 | align_1: 9-8 | align_2: 10-12 | entity: Qur’ân - none |    16 / An-Nahl-98 : So when you recite the Qur’ân , seek refuge in Allah from Satan the stoned . ||| 16 : 98 当 你 要 诵读 《 古兰经 》 的 时候 ， 你 应当 求 真主 保护 ， 以 防受 诅咒 的 恶魔 的 干扰 。 

IDPs IDP | w_freq: 10 - 13 | wiki_freq: 801 - 14 | sentence_idx: 828676 | align_1: 8-8 | align_2: 9-12 | entity: IDPs - none |    The Daily Times spoke to a number of IDPs saying they would stay back – either because military operations continued , or they had no money at home . ||| 时代 日报 （ Daily Times ） 采访 数位 IDP ， 这些 人 表示 他们 会 留下 ， 原因 是 军事 活动 仍然 持续 著 ， 或者是 家里 没钱 了 。 

Bauer Bauer | w_freq: 23 - 9 | wiki_freq: 12439 - 91 | sentence_idx: 831317 | align_1: 6-1 | align_2: 7-7 | entity: Peter Bauer - Peter Bauer |    With his vast experience , Peter Bauer will focus on executing and expanding according to the “ IFX 10-Plus ” program the necessary and already initiated measures and programs . ||| Peter Bauer 继任 首席 执行官 后 ， 将 凭借 他 丰富 的 经验 并 依据 IF X Plus-10 项目 需求 来 致力于 执行 和 拓展 一切 必要 的 和 已经 启动 的 措施 及 项目 。 

Bannon 巴农 | w_freq: 40 - 1 | wiki_freq: 2684 - 20 | sentence_idx: 831955 | align_1: 4-6 | align_2: 5-14 | entity: Bannon - 巴农 |    “ I like Mr. Bannon … I like him , he ’s a good man , he ’s not a racist . ||| 他 说 ： 「 我 喜欢 巴农 先生 ， 他 是 我 的 朋友 … 他 是 个 好人 ， 他 不是 种族主义者 。 

Aristide Aristide | w_freq: 6 - 2 | wiki_freq: 2524 - 18 | sentence_idx: 832357 | align_1: 30-30 | align_2: 31-35 | entity: Aristide - none |    So we are left with a situation everywhere where there is colossal instability , which is reflected at the present time in Haiti , where there are mass demonstrations against Aristide , although this is clearly a reactionary movement . ||| 所以 留给 我们 的 形势 是 到处 的 巨大 的 不 稳定 ， 这 一点 眼下 在 海地 （ Haiti ） 反映 了 出来 ， 那里 有 反对 阿里斯蒂德 （ Aristide ） 的 群众 示威 ， 尽管 这 明显 是 一 场 反动 的 运动 。 

SOA wang | w_freq: 83 - 1 | wiki_freq: 1092 - 18 | sentence_idx: 833263 | align_1: 3-3 | align_2: 4-9 | entity: SOA - 王 ( wang ) 世荣 |    Likewise , without SOA governance , SOA efforts can and will go astray . ||| 在 王 ( wang ) 世荣 ( rong ) 看来 ， 哪怕 吃亏 ， 也 不 能 失 了 诚 ( cheng)信 。 

Anmary Anmary | w_freq: 1 - 2 | wiki_freq: 19 - 0 | sentence_idx: 834348 | align_1: 2-2 | align_2: 3-8 | entity: Anmary - none |    Latvia English Anmary " Beautiful Song " — 16 17 ||| 拉脱维亚 英语 Anmary （ 英语 ： Anmary ） " Beautiful Song （ 英语 ： Beautiful Song ） " — 16 17 

VARK vark | w_freq: 2 - 2 | wiki_freq: 21 - 0 | sentence_idx: 834496 | align_1: 8-11 | align_2: 9-16 | entity: VARK - none |    Today , 16 questions like this comprise the VARK questionnaire that Fleming developed to determine someone ’s “ learning style . ” ||| 今天 ， 有 16 个 类似 的 问题 组成 了 “ vark 问卷 ” ， 这个 问卷 是 Fleming 为了 确定 一个 人 的 “ 学习 风格 ” 而 开发 出来 的 。 

Aharon 袁军 | w_freq: 8 - 1 | wiki_freq: 1702 - 131 | sentence_idx: 834908 | align_1: 15-22 | align_2: 16-35 | entity: Aharon - 袁军 |    There were seven monumental Jewish leaders : Abraham , Isaac , Jacob , Moses , Aharon , Joseph and David — representing seven human qualities . ||| 除了 上述 7 人 ， 袁秋 （ 唯一 的 女性 成员 ） ， 袁 青 （ 即 袁和平 ） ， 袁德 ， 袁军 （ 后 改名 为 吴元君 ） ， 袁 斌 ， 袁 震 ， 袁宝 等 。 

Scriptures 诸侯 | w_freq: 62 - 20 | wiki_freq: 2872 - 4920 | sentence_idx: 842153 | align_1: 1-0 | align_2: 2-5 | entity: Scriptures - none |    The Scriptures say that we are not ignorant of Satan ’s devices . ||| 诸侯 不知 内情 ， 要 说 我们 不 敬 鬼神 了 。 

Tufekci Tufekci | w_freq: 1 - 1 | wiki_freq: 75 - 0 | sentence_idx: 845529 | align_1: 0-0 | align_2: 1-5 | entity: Tufekci - none |    Tufekci : What was the most important role the Internet played in helping people launch the Egyptian revolution in 2011 ? ||| Tufekci （ 以下 简称T ） ： 在 帮助 人们 发起 2011年 的 埃及 革命 中 ， 互联网 所 扮演 的 最 重要 的 角色 是 什么 ？ 

Congolese 刚果 | w_freq: 31 - 149 | wiki_freq: 8180 - 2933 | sentence_idx: 845661 | align_1: 1-0 | align_2: 2-4 | entity: Congolese - 刚果 |    The Congolese authorities are encouraging people to move away from the volatile border area and move further inland , where they can get better help . ||| 刚果 （ 金 ） 当局 鼓励 人们 离开 这 一 动荡 的 边境 地区 ， 进一步 向 内陆 移动 ， 在 那里 他们 可以 得到 更 好的 帮助 。 

Maha 安拉 | w_freq: 4 - 169 | wiki_freq: 8601 - 280 | sentence_idx: 846590 | align_1: 0-6 | align_2: 1-19 | entity: Maha - 安拉 |    Maha and Maryam ( Cairo ) . ||| 古兰经 轻而易举 地 误称 之 为 安拉 （ 万有之主 ， 太 一 神 ） ， 麦尔彦 （ 圣母 ） 和 尔撒 （ 圣子 ） 。 

Isil DAESH | w_freq: 3 - 2 | wiki_freq: 33 - 0 | sentence_idx: 858491 | align_1: 12-15 | align_2: 13-21 | entity: Isil - none |    He warned that the fighting will be " fierce because Daesh [ Isil ] will die to defend their so-called capital " . ||| 这 场 战役 将 会 极其 艰难 ， 因为 『 达 伊 沙 』 （ DAESH ， ISIS 的 阿文 缩写 ） 必将 誓死 防卫 他们 所谓 的 『 首都 』 。 

Qur’an 食经 | w_freq: 172 - 1 | wiki_freq: 541 - 16 | sentence_idx: 860666 | align_1: 6-4 | align_2: 7-9 | entity: Qur’an - none |    This is clearly mentioned in the Qur’an : ||| 这是 在 《 应 食经 》 里面 说到 的 ： 

Blige Blige | w_freq: 1 - 1 | wiki_freq: 2505 - 6 | sentence_idx: 860793 | align_1: 2-10 | align_2: 3-14 | entity: Blige - none |    Mary J Blige * Stronger With Each Tear ( Album ) ||| 魔镜 歌词 网 ＞ 欧美 歌手 ＞ Mary J . Blige ( 玛丽布莱姬 ) ＞ Stronger With Each Tear ( 坚强 的 泪光 ) 

Garrity Garrity | w_freq: 4 - 5 | wiki_freq: 950 - 5 | sentence_idx: 862143 | align_1: 5-23 | align_2: 6-30 | entity: Lyla Garrity - Garrity |    2006–2009 Friday Night Lights Lyla Garrity Main role ; 50 episodes ||| 2006 – 2009 《 胜利 之 光 （ 英语 ： Friday Night Lights ( TV series ) ） 》 Friday Night Lights Lyla Garrity （ 英语 ： Lyla Garrity ） 主要 角色 ； 50 集 

RoC RoC | w_freq: 1 - 1 | wiki_freq: 72 - 1 | sentence_idx: 864109 | align_1: 7-9 | align_2: 8-14 | entity: RoC - none |    “ Today , we ’re updating the RoC with regard to Adult Only ( AO ) games . ||| “ 如今 ， 我们 对 用户 行为 守则 ( RoC ) 进行 了 更新 ， 增加 了 对 仅 限 成人级 ( AO ) 游戏 的 规定 。 

Polska Armia波兰 | w_freq: 3 - 1 | wiki_freq: 3200 - 0 | sentence_idx: 866204 | align_1: 16-14 | align_2: 17-18 | entity: Tajna Armia Polska - none |    On 9 November 1939 , the two men founded the Secret Polish Army , Tajna Armia Polska , one of the first underground organisations in Poland . ||| 在 1939年 11月 9日 ， 两 人 建立 了 秘密 波兰 军队 （ Tajna Armia波兰 ， TAP ） ， 第一 个 地下 组织 在 波兰 的 一个 。 

Gorsuch Gorsuch | w_freq: 8 - 8 | wiki_freq: 1103 - 0 | sentence_idx: 867507 | align_1: 5-4 | align_2: 6-9 | entity: Gorsuch - none |    Supreme Court needs judges like Gorsuch because America has leaders like Schumer . ||| 最高 法院 需要 像 Gorsuch 这样 的 法官 ， 因为 美国 有 像 舒默 这样 的 领导人 

Forrest Forrest | w_freq: 19 - 4 | wiki_freq: 13880 - 45 | sentence_idx: 870095 | align_1: 6-6 | align_2: 7-15 | entity: Forrest - none |    Jenny Curran : You would , Forrest . ||| Jenny Curran : You would , Forrest . 珍妮 ： 你 会 的 ， 福雷斯特 。 

Fifa FIFA | w_freq: 18 - 92 | wiki_freq: 363 - 1133 | sentence_idx: 871419 | align_1: 5-6 | align_2: 6-11 | entity: Fifa - none |    Over time , though , Fifa continued to pull ahead commercially . ||| 不过 随着 时间 推移 ， 《 FIFA 》 在 商业 方面 持续 领先 。 

Partner Partner | w_freq: 131 - 20 | wiki_freq: 7239 - 87 | sentence_idx: 873925 | align_1: 7-7 | align_2: 8-14 | entity: Haage & Partner - none |    Later versions were developed by Haage & Partner ( AmigaOS 3.5 and 3.9 ) and then Hyperion Entertainment ( AmigaOS 4.0 - 4.1 ) . ||| 后来 的 版本 则 由 Haage & Partner （ 英语 ： Haage _&_Partner ） （ AmigaOS 3.5 和 3.9 ） 开发 ， 这 之后 则 由 Hyperion 娱乐 （ 英语 ： Hyperion _ Entertainment ） （ AmigaOS 4.0-4.1 ） 开发 。 

