vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 
Mosiah Mosiah | w_freq: 3 - 3 | wiki_freq: 230 - 17 | sentence_idx: 60277 | align_1: 8-6 | align_2: 9-12 |    How did the conversion of the sons of Mosiah influence their desire to be missionaries ? ||| Comment la conversion des fils de Mosiah a -t -elle eu une influence sur leur désir d’ être des missionnaires ? 

breathe respirons | w_freq: 204 - 17 | wiki_freq: 5165 - 24 | sentence_idx: 60573 | align_1: 13-12 | align_2: 14-17 |    The Japanese researchers suggested that we are taking in beneficial substances when we breathe forest air . ||| Les chercheurs japonais suggéré que nous absorbons des substances bénéfiques lorsque nous respirons l’ air de la forêt . 

notification notification | w_freq: 131 - 146 | wiki_freq: 6225 - 1113 | sentence_idx: 61608 | align_1: 24-26 | align_2: 25-33 |    What orders were you and your command under with respect to operations against the enemy immediately before and up to the moment of such notification and after notification and up to 11 o’clock ? ||| Quels étaient vos ordres et ceux de votre commandement en ce qui concerne les opérations contre l’ ennemi immédiatement avant et jusqu’ au moment de la notification de la signature de l’ Armistice , après la notification et jusqu’ à 11 heures ? 

Israelis Israéliens | w_freq: 590 - 586 | wiki_freq: 6972 - 1730 | sentence_idx: 62465 | align_1: 20-22 | align_2: 21-27 |    That was also the opinion of the governments of the organised international community , all of them , and you Israelis told them to go to hell . ” ||| C’ était aussi l’ avis des gouvernements de la communauté internationale organisée , de tous les gouvernements , et vous , les Israéliens , vous leur avez dit d’ aller au diable . » 

tribulation tribulations | w_freq: 72 - 37 | wiki_freq: 340 - 516 | sentence_idx: 63183 | align_1: 13-16 | align_2: 14-21 |    During this time , one thing I ’ll never forget is the awful tribulation when I was arrested by the CCP police a decade ago . ||| Pendant cette période , une chose que je n’ oublierai jamais , ce sont les horribles tribulations que j’ ai vécues lorsque j’ ai été arrêtée par la police du PCC il y a une décennie . 

peripheries périphéries | w_freq: 12 - 12 | wiki_freq: 453 - 459 | sentence_idx: 63487 | align_1: 12-11 | align_2: 13-16 |    Marisa Matias – Yes , with the world peripheries , with EU peripheries and with the issue of refugees and migrants … ||| Marisa Matias – Oui , aux périphéries du monde , aux périphéries de l’ Union Européenne et à la question des réfugiés et des migrants ... 

lawmakers législateurs | w_freq: 69 - 148 | wiki_freq: 6380 - 834 | sentence_idx: 63893 | align_1: 16-18 | align_2: 17-23 |    Yet I am glad the Chinese government has not shown the same paranoia as the US lawmakers and the WSJ . ||| Pourtant , je suis heureux que le gouvernement chinois n’ ait pas montré la même paranoïa que les législateurs des Etats-Unis d’ Amérique et le WSJ . 

unfortunately malheureusement | w_freq: 595 - 683 | wiki_freq: 8997 - 5588 | sentence_idx: 64306 | align_1: 13-14 | align_2: 14-18 |    K did not have a very strong identity at the time , so unfortunately continued to change to fit what I wanted . ||| K n' avait pas d' identité personnelle très forte à l' époque , alors malheureusement , il a continué à changer pour s' adapter à ce que je voulais . 

disrespect irrespect | w_freq: 21 - 3 | wiki_freq: 1962 - 128 | sentence_idx: 64829 | align_1: 1-1 | align_2: 2-5 |    This disrespect of the power of women can be changed with knowledge . ||| Cet irrespect à l’ égard du pouvoir des femmes peut changer avec la connaissance . 

puppy chiot | w_freq: 83 - 93 | wiki_freq: 2433 - 387 | sentence_idx: 66382 | align_1: 9-13 | align_2: 10-19 |    Always remember , before adopting or purchasing your next puppy , please do your homework . ||| Rappelez -vous toujours , avant l' adoption ou l' achat de votre prochain chiot , s' il vous plaît , faire vos devoirs . 

violate violant | w_freq: 156 - 21 | wiki_freq: 9062 - 556 | sentence_idx: 69587 | align_1: 5-6 | align_2: 6-11 |    There were more slogans that violate human rights and the Constitution , such as “ You will sleep in prison tomorrow if you do n’t pay taxes today . ” ||| Il y avait même des slogans violant les droits de l’ homme et la Constitution comme : « Vous dormirez en prison demain si vous ne payez pas vos taxes aujourd’hui » . 

awaiting attendant | w_freq: 116 - 405 | wiki_freq: 11876 - 10850 | sentence_idx: 69876 | align_1: 9-8 | align_2: 10-13 |    Charlebois began the reconstruction at his own expense while awaiting government assistance . ||| Charlebois commença la reconstruction à ses frais en attendant de l’ aide du gouvernement . 

veladas veladas | w_freq: 1 - 1 | wiki_freq: 13 - 2 | sentence_idx: 70714 | align_1: 10-9 | align_2: 11-16 |    The only problem with all of this was that the veladas were not religious ceremonies . ||| Le seul problème avec tout ceci était que les veladas [ ndt : veillées ] n’ étaient pas des cérémonies religieuses . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 71188 | align_1: 13-17 | align_2: 14-21 |    In 2018 , CineGlobe seeks films of all perspectives on our shared and hopefully Intelligent Futures . ||| En 2018 , CineGlobe cherche des films de toutes les perspectives sur notre avenir partagé et , espérons - le , intelligent . 

lunches déjeuner | w_freq: 9 - 464 | wiki_freq: 1650 - 3349 | sentence_idx: 71657 | align_1: 10-16 | align_2: 11-20 |    But just consider this–would you rather eat the types of lunches served today , or those that were served 100 years ago ? ||| D’ ailleurs , en y pensant , est -ce que vous préféreriez manger le type de déjeuner que l’ on sert aujourd’hui ou celui qui était servi il y a 100 ans ? 

microphone microphone | w_freq: 123 - 70 | wiki_freq: 9818 - 868 | sentence_idx: 72089 | align_1: 3-3 | align_2: 4-7 |    Linda with the microphone please , my favorite time . ||| Linda avec le microphone s’ il vous plaît , mon moment préféré . 

E-6 E-6 | w_freq: 24 - 23 | wiki_freq: 341 - 46 | sentence_idx: 73229 | align_1: 0-0 | align_2: 1-8 |    E-6 A lady came in not long ago , her boy is an exterminator at Texarkana . ||| E-6 Il n' y a pas longtemps , une dame est venue , son fils est un exterminateur à Texarkana . 

bouquets bouquets | w_freq: 7 - 7 | wiki_freq: 671 - 1535 | sentence_idx: 73336 | align_1: 2-1 | align_2: 3-6 |    Your bridesmaid bouquets -- flowers for your maid of honor and your legion of attendants -- will eat up about 14 percent of that money . ||| Vos bouquets de demoiselle d’ honneur – fleurs pour votre demoiselle d’ honneur et votre légion de serviteurs – mangeront environ 14 pour cent de cet argent . 

thanked plongé | w_freq: 148 - 42 | wiki_freq: 6192 - 2321 | sentence_idx: 73447 | align_1: 2-2 | align_2: 3-9 |    So I thanked him graciously ( and meant it . ) ||| Me suis plongé , moi , dans remerciements envers lui ( gens comme lui rares ) . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 74216 | align_1: 10-10 | align_2: 11-14 |    SCP-2996 : ( SCP-2996 is silent for a moment ) Maybe you 're right . ||| SCP-2996 : ( SCP-2996 est silencieux pendant un moment ) Peut - être que vous avez raison . 

E-42 E-42 | w_freq: 16 - 21 | wiki_freq: 3 - 1 | sentence_idx: 74845 | align_1: 0-0 | align_2: 1-4 |    E-42 Now , and , He , what is His Name , first ? ||| E-42 ( 41 ) Maintenant , et , Lui , d’ abord , quel est Son Nom ? 

ambassadors ambassadeurs | w_freq: 174 - 188 | wiki_freq: 11047 - 4323 | sentence_idx: 75354 | align_1: 29-25 | align_2: 30-31 |    So we are an isolated country according to the West , but how many of our ambassadors abroad are now present in this room , and how many foreign ambassadors in Syria ? ||| Nous sommes donc un pays isolé , mais combien de nos ambassadeurs à l’ étranger sont aujourd’hui présents dans cette salle , et combien d’ ambassadeurs de l’ étranger sont présents en Syrie ? 

greet saluez | w_freq: 75 - 3 | wiki_freq: 3701 - 3 | sentence_idx: 75845 | align_1: 16-16 | align_2: 17-20 |    Here are all the phrases you will need to say hello in Russian , whether you greet formally or informally , early in the morning or late in the evening . ||| Voici toutes les phrases dont vous aurez besoin pour dire bonjour en russe , que vous saluez d’ une façon formelle ou informelle , tôt le matin ou tard dans la soirée . 

roadmap roadmap | w_freq: 101 - 3 | wiki_freq: 1534 - 42 | sentence_idx: 77196 | align_1: 5-6 | align_2: 6-10 |    As we announced in November´s roadmap our competition system is now moving into a more serious testing . ||| Comme nous avions annoncé dans la roadmap de Novembre , notre système de compétition passe une phase de tests plus sérieuse . 

thyself toi | w_freq: 8 - 1867 | wiki_freq: 379 - 6935 | sentence_idx: 77244 | align_1: 4-6 | align_2: 5-10 |    My soul , examine thyself this morning by the light of this text . ||| Mon âme , examine - toi toi - même , ce matin , par la lumière de ce texte . 

Remember Te | w_freq: 1056 - 121 | wiki_freq: 9753 - 4278 | sentence_idx: 77397 | align_1: 2-2 | align_2: 3-7 |    A : Remember we once told you that people would unite against the “ invasion ” at the time just before the earth changes ? ||| R : Te souviens - tu que nous t’ avions dit jadis que les gens s’ uniraient contre «   l’ invasion   » dans les temps précédant les changements terrestres   ? 

dissuade décourageriez | w_freq: 18 - 2 | wiki_freq: 2786 - 0 | sentence_idx: 78309 | align_1: 3-2 | align_2: 4-8 |    Why do you dissuade the heart of the Children of Israel from crossing to the land that G-d has given them ? ’ ” ||| Et pourquoi décourageriez -vous ( détourneriez -vous ) le cœur des enfants d’ Israël de passer au pays que l’ Eternel leur a donné ? » 

sect secte | w_freq: 76 - 84 | wiki_freq: 12455 - 4347 | sentence_idx: 78576 | align_1: 10-10 | align_2: 11-16 |    If wisdom could be acquired through a religious society or sect , we should all be wise , for we have had religions with us for thousands of years . ||| Si la sagesse pouvait être acquise au moyen d’ une secte ou d’ une société religieuse , nous serions tous des sages , car nous avons eu des religions avec nous pendant des milliers d’ années . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 78939 | align_1: 0-0 | align_2: 1-4 |    Maybe we need to see a happy superhero ? " ||| Peut - être avons -nous besoin de voir un super-héros heureux ? » 

legislators législateurs | w_freq: 79 - 148 | wiki_freq: 11124 - 834 | sentence_idx: 79889 | align_1: 5-5 | align_2: 6-13 |    The European Commission , EU legislators and other authorities all rightly agree that misuse of the financial system can not be tolerated . ||| La Commission européenne , les législateurs de l’ Union européenne ( UE ) et d’ autres autorités s’ accordent , à juste titre , pour dire que l’ utilisation abusive du système financier ne saurait être tolérée . 

NOTE NOTEZ | w_freq: 96 - 2 | wiki_freq: 2069 - 1 | sentence_idx: 80802 | align_1: 1-0 | align_2: 2-5 |    PLEASE NOTE : As with all of this Web site , I try to give general answers to common questions my patients and their parents ask me in my ( real ) office . ||| NOTEZ S’ IL VOUS PLAÎT : Comme avec tous de ce site Web , je tente de donner des réponses générales aux questions courantes mes patients et leurs parents me demandent mon ( vrai ) bureau . 

NEWater NEWater | w_freq: 1 - 1 | wiki_freq: 75 - 1 | sentence_idx: 80806 | align_1: 6-7 | align_2: 7-14 |    If Singapore does not have enough NEWater after 2011 , that is Singapore 's own doing , right ? ||| Si Singapour n' a pas assez de NEWater [ Ndt : eau recyclée ] après 2011 , cela ne regarde que Singapour , n' est -ce pas ? 

Peres Peres | w_freq: 21 - 18 | wiki_freq: 2811 - 620 | sentence_idx: 81104 | align_1: 2-3 | align_2: 3-7 |    To which Peres once patiently responded to me : “ Doubt is not a policy . ||| Ce à quoi Peres m’ a une fois patiemment répondu : « le doute n’ est pas une politique . 

Cayce Cayce | w_freq: 12 - 12 | wiki_freq: 616 - 94 | sentence_idx: 82261 | align_1: 11-11 | align_2: 12-16 |    Imagine having the ability to predict your own death – Edgar Cayce did . ||| Imaginez avoir la capacité de prévoir votre propre mort – Edgar Cayce lui , l’ a fait . 

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82566 | align_1: 8-8 | align_2: 9-13 |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j’ avais pensé que nous suivions les Conventions de Genève , en tant qu’ officier j’ aurais enquêté sur ce qui était clairement une situation très suspecte . ” 

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82567 | align_1: 8-8 | align_2: 9-13 |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j' avais pensé que nous suivions les Conventions de Genève , en tant qu' officier j' aurais enquêté sur ce qui était clairement une situation très suspecte . ” 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 83107 | align_1: 0-0 | align_2: 1-5 |    Anyway , at the very least , Teie and Snowdon 's most recent study gives you a chance to experiment with your pets at home . ||| Quoi qu’ il en soit , à tout le moins , l’ étude la plus récente de Teie et Snowdon vous donne l’ occasion d’ expérimenter avec vos animaux de compagnie à la maison . 

fucking putain | w_freq: 48 - 38 | wiki_freq: 3431 - 324 | sentence_idx: 83777 | align_1: 5-6 | align_2: 6-10 |    The White House , your fucking White House , your fucking presidents , they must go ! ||| La Maison - Blanche , votre putain de Maison - Blanche , vos putain de présidents [ blancs ] , ils doivent se tirer ! 

Regardless Quoi | w_freq: 231 - 506 | wiki_freq: 8260 - 4268 | sentence_idx: 84055 | align_1: 0-0 | align_2: 1-5 |    Regardless , most of us would agree that they are at least very interesting to look at . ||| Quoi qu’ il en soit , la plupart d’ entre nous conviendraient qu’ ils sont au moins très intéressants à regarder . 

thankfull reconnaissant | w_freq: 2 - 518 | wiki_freq: 1 - 5528 | sentence_idx: 84268 | align_1: 3-3 | align_2: 4-8 |    We are very thankfull but also dependend on self-initiative ! ||| Nous sommes très reconnaissant - e - s mais nous dépendons aussi de l’ auto-initiative ! 
