11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .
BOYS GARÇONS | w_freq: 1 - 1 | wiki_freq: 105 - 8 | sentence_idx: 863391 | align_1: 19-19 | align_2: 20-23 | ner_entity: none-LES GARÇONS |    Like , they ’d need a restraining order and four polizia to make me leave — I LOVE YOU BOYS ALL SO VERY VERY VERY VERY MUCH ( call me ) . ||| Du genre , il leur faudrait un mandat d’ arrêt et quatre polizia pour me faire partir – LES GARÇONS , JE VOUS AIME VRAIMENT VRAIMENT VRAIMENT BEAUCOUP ( appelez -moi ) .

ALL GARÇONS | w_freq: 157 - 1 | wiki_freq: 1658 - 8 | sentence_idx: 863391 | align_1: 20-19 | align_2: 21-23 | ner_entity: none-LES GARÇONS |    Like , they ’d need a restraining order and four polizia to make me leave — I LOVE YOU BOYS ALL SO VERY VERY VERY VERY MUCH ( call me ) . ||| Du genre , il leur faudrait un mandat d’ arrêt et quatre polizia pour me faire partir – LES GARÇONS , JE VOUS AIME VRAIMENT VRAIMENT VRAIMENT BEAUCOUP ( appelez -moi ) .

Orbital Orbital | w_freq: 7 - 3 | wiki_freq: 4144 - 465 | sentence_idx: 863923 | align_1: 8-12 | align_2: 9-17 | ner_entity: Orbital-Orbital |    They ’ll never be more than personnel on Orbital overseeing our various departments and teams . ” ||| Ils ne seront jamais rien de plus que le personnel de l' Orbital , en train de gérer nos différents départements et nos équipes . »

Destinations Destinations | w_freq: 16 - 9 | wiki_freq: 3236 - 579 | sentence_idx: 869044 | align_1: 6-6 | align_2: 7-13 | ner_entity: World Cruising Destinations-World Cruising Destinations |    In 2010 he wrote World Cruising Destinations , which gives practical information on 184 maritime nations . ||| En 2010 il écrit World Cruising Destinations ( Destinations de grande croisière ) , qui fournit des informations pratiques sur 184 nations maritimes .

185 185 | w_freq: 36 - 44 | wiki_freq: 9477 - 2082 | sentence_idx: 871718 | align_1: 5-3 | align_2: 6-10 | ner_entity: 185-none |    “ Would YOU pay £ 185 for a DHL T-shirt ? , ” demanded The Daily Mail . ||| « Dépenseriez -vous 185 £ ( environ 235 € ) pour un T - shirt DHL ? » demande le Daily Mail .

Philbin Philbin | w_freq: 1 - 1 | wiki_freq: 1217 - 107 | sentence_idx: 874459 | align_1: 5-5 | align_2: 6-9 | ner_entity: Regis Philbin-Regis Philbin |    And this year also Regis Philbin stopped by with his lovely wife Joy ! ||| Et cette année également Regis Philbin s’ y est arrêté avec sa belle épouse Joy !

Salesians Salésiens | w_freq: 15 - 11 | wiki_freq: 771 - 178 | sentence_idx: 875115 | align_1: 3-4 | align_2: 4-9 | ner_entity: Salesians-Salésiens |    “ When the Salesians first came in 1938 , they wanted to spread faith and culture to this periphery of Bratislava . ||| « Quand a les Salésiens arrivèrent , pour la première fois , en 1938 , ils voulaient diffuser la foi et la culture en cette périphérie de Bratislava .

Prophet Prophète | w_freq: 255 - 206 | wiki_freq: 9638 - 1698 | sentence_idx: 875671 | align_1: 1-1 | align_2: 2-5 | ner_entity: Prophet-Prophète |    The Prophet used to laugh too ; sometimes till his front teeth were exposed ... ||| Le Prophète ( saw ) riait aussi ; parfois jusqu' à ce que ses dents de devant soient exposées ...

Normally Normalement | w_freq: 175 - 185 | wiki_freq: 5776 - 901 | sentence_idx: 876415 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Normalement |    Normally poker players use their own hand histories for this type of analysis . ||| Normalement , les joueurs de poker utilisent leur propres mains historiques pour ce type d' analyse .

Adieu Adieu | w_freq: 3 - 29 | wiki_freq: 503 - 1447 | sentence_idx: 877107 | align_1: 13-14 | align_2: 14-25 | ner_entity: Adieu-Adieu |    Alliance had perhaps become unarmed conflict , and now you say , " Adieu . " ||| L' alliance est peut-être devenue un conflit non-armé et vous dites maintenant , " Adieu " ( NDT : en français dans le texte ) .

Nicaraguan nicaraguayennes | w_freq: 17 - 4 | wiki_freq: 5331 - 68 | sentence_idx: 877132 | align_1: 3-6 | align_2: 4-13 | ner_entity: Nicaraguan-none |    Unfortunately , most Nicaraguan human rights organizations are funded by NED and controlled by the Movement for Sandinista Renovation . ||| Malheureusement , la plupart des organisations nicaraguayennes de défense des droits de l’ homme sont financées par NED et contrôlées par le Mouvement pour la rénovation sandiniste .

Syrians Syriens | w_freq: 215 - 220 | wiki_freq: 3109 - 940 | sentence_idx: 878650 | align_1: 19-25 | align_2: 20-29 | ner_entity: Syrians-Syriens |    Syrian refugees living in the city of São Paulo said that Brazil is the only country granting visas to Syrians currently : ||| Des réfugiés syriens qui vivent dans la ville de São Paulo ont expliqué que le Brésil est le seul pays qui accorde des visas aux Syriens à l’ heure actuelle :

Qur'an Coran | w_freq: 85 - 346 | wiki_freq: 6037 - 7889 | sentence_idx: 883968 | align_1: 11-5 | align_2: 12-10 | ner_entity: Qur'an-Coran |    11 ) Over a period of how many years was the Qur'an revealed ? ||| En combien d’ années le Coran a -t -il été révélé ?

Belts ceintures | w_freq: 5 - 42 | wiki_freq: 699 - 2614 | sentence_idx: 886749 | align_1: 28-32 | align_2: 29-37 | ner_entity: Security Belts-none |    O my brothers and sisters , one evidence of the strength of the Resistance is that in the past , the Israeli enemy always sought to establish Security Belts inside Lebanon . ||| O mes frères et sœurs , l’ une des preuves de la force de la Résistance , c’ est que par le passé , l’ ennemi israélien cherchait toujours à établir des ceintures de sécurité à l’ intérieur du Liban .

Secondly Deuxièmement | w_freq: 389 - 745 | wiki_freq: 5254 - 989 | sentence_idx: 886906 | align_1: 0-0 | align_2: 1-4 | ner_entity: Secondly-none |    Secondly is the issue of refusing to have sex with your husband after he ’s looked at porn . ||| Deuxièmement , il y a la question de refuser d' avoir des relations sexuelles avec son mari après avoir regardé du porno .

Consulate Consulat | w_freq: 20 - 12 | wiki_freq: 5118 - 3423 | sentence_idx: 896093 | align_1: 23-19 | align_2: 24-25 | ner_entity: Ivory Coast Consulate-Consulat de la Côte d’ Ivoire |    To enter to Ivory Coast , according to your Country , it will be important for you to contact in advance Ivory Coast Consulate . ||| Pour entrer en Côte d’ Ivoire , selon votre Pays , il sera important de vous adresser préalablement au Consulat de la Côte d’ Ivoire .

Hittite Hittite | w_freq: 4 - 2 | wiki_freq: 3785 - 113 | sentence_idx: 898270 | align_1: 12-22 | align_2: 13-27 | ner_entity: Hittite-Hittite |    manner , it was ; it was in the head of a Hittite ten thousand years ago . ||| Et en vérité , d’ une certaine manière , c’ était bien le cas ; il appartenait à la tête d’ un Hittite d’ il y a dix mille ans .

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 898287 | align_1: 3-1 | align_2: 4-7 | ner_entity: Syriza-Syriza |    And even if Syriza never fully clarified its position on the euro , it did always reject the logic of “ the euro at any price . ” ||| Et Syriza , s’ il n’ avait jamais clarifié sa position sur l’ euro , avait toujours refusé la logique de « l’ euro à tout prix » .

Tesla Tesla | w_freq: 224 - 227 | wiki_freq: 8862 - 2254 | sentence_idx: 906879 | align_1: 1-1 | align_2: 2-5 | ner_entity: Nikola Tesla-Nikola Tesla |    Nikola Tesla never married or fell in love , despite numerous women “ madly in love with him ” . ||| Nikola Tesla ne s’ est jamais marié ou tombé amoureux , en dépit de nombreuses femmes « follement amoureuses de lui » .

E-85 E-85 | w_freq: 13 - 14 | wiki_freq: 22 - 3 | sentence_idx: 908344 | align_1: 0-0 | align_2: 1-6 | ner_entity: none-E-85 |    E-85 Anybody in here believe that you can be healed right now ? ||| E-85 Y a -t -il quelqu' un ici qui croit qu' il peut être guéri à l' instant même ?

E-56 E-56 | w_freq: 14 - 15 | wiki_freq: 2 - 3 | sentence_idx: 912292 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-56 |    E-56 No wonder they could n't see Him . ||| E-56 Ce n’ est pas étonnant qu’ ils n’ aient pas pu Le voir .

Gurdjieff Gurdjieff | w_freq: 10 - 10 | wiki_freq: 1109 - 250 | sentence_idx: 912509 | align_1: 4-3 | align_2: 5-8 | ner_entity: Gurdjieff-Gurdjieff |    ( Joe ) Did Gurdjieff not describe the reason for the work on the self ? ||| ( Joe ) Gurdjieff n’ a -t -il pas décrit la raison du travail sur soi   ?

Ask Demandez | w_freq: 611 - 442 | wiki_freq: 5060 - 67 | sentence_idx: 919913 | align_1: 1-0 | align_2: 2-4 | ner_entity: none-Demandez |    " Ask what they are listening to . ||| Demandez - leur alors ce qu' ils entendent par là .

Ombudsman Ombudsman | w_freq: 76 - 28 | wiki_freq: 4691 - 78 | sentence_idx: 920184 | align_1: 2-1 | align_2: 3-6 | ner_entity: The Ontario Ombudsman-Ombudsman de l’ Ontario |    The Ontario Ombudsman investigated 1,400 complaints from people and families , beginning in 2012 . ||| L’ Ombudsman de l’ Ontario a enquêté sur 1 400 plaintes déposées par des personnes et des familles , et ce , à partir de 2012 .

Norvinic Norvinic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 920690 | align_1: 3-3 | align_2: 4-7 | ner_entity: Norvinic-Norvinic |    In 2004 , Norvinic acquired other trucks to increase its fleet to four vehicles . ||| En 2004 , Norvinic a fait l’ acquisition d’ autres camions pour augmenter sa flotte à 4 véhicules .

Dialogues Dialogues | w_freq: 12 - 11 | wiki_freq: 1669 - 724 | sentence_idx: 921542 | align_1: 6-5 | align_2: 7-10 | ner_entity: these “ Trade Dialogues-Dialogues sur le commerce ” |    The first of these “ Trade Dialogues ” was held at the WTO 's headquarters in May 2016 at the request of the private sector . ||| Le premier de ces “ Dialogues sur le commerce ” s’ est tenu au siège de l’ OMC en mai 2016 , à la demande du secteur privé .

Verizon Verizon | w_freq: 30 - 30 | wiki_freq: 5644 - 372 | sentence_idx: 923393 | align_1: 7-9 | align_2: 8-13 | ner_entity: Verizon-Verizon |    12 The legal predecessors of nexnet and Verizon also concluded a ‘ data protection and confidentiality agreement ’ which provides : ||| 12 Les prédécesseurs en droit de nexnet et de Verizon ont , en outre , conclu un « accord sur la protection des données et la confidentialité » qui prévoit :

E-5 E-5 | w_freq: 26 - 29 | wiki_freq: 264 - 32 | sentence_idx: 929956 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-5 |    E-5 Now , this brother , the brethren forgot it , but he is holding a meeting here in your city . ||| E-5 ( 3 ) Eh bien , ce frère , les frères avaient oublié cela , mais il tient une série de réunions ici dans votre ville .

RtCW RtCW | w_freq: 1 - 1 | wiki_freq: 1 - 4 | sentence_idx: 944462 | align_1: 11-12 | align_2: 12-17 | ner_entity: RtCW-RtCW |    No real support from Activision , except a free copy of RtCW sent by them ! ||| Pas de véritable support d’ Activision , sauf une copie gratuite de RtCW qu’ ils m’ avaient envoyée !

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 945746 | align_1: 0-0 | align_2: 1-5 | ner_entity: E-36-none |    E-36 Such a person and such a man , such a time and how they felt ... ||| E-36 ( 38 ) Une telle personne et un tel homme , un tel moment et comment ils ont senti ...

76:23 76:23 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 950204 | align_1: 0-0 | align_2: 1-6 | ner_entity: 76:23-none |    76:23 We have sent down to you the Quran at once . ||| 76:23 En vérité , c’ est Nous qui t’ avons révélé le Coran graduellement .

Jail Prison | w_freq: 12 - 22 | wiki_freq: 8204 - 2386 | sentence_idx: 954477 | align_1: 6-5 | align_2: 7-10 | ner_entity: the Toronto Jail-Prison de Toronto |    444 An inmate at the Toronto Jail complained to our Office that staff assaulted him on April 10 and 16 , 2012 . ||| 444 Un détenu de la Prison de Toronto s’ est plaint à notre Bureau que le personnel l’ avait agressé les 10 et 16 avril 2012 .

Barroso Barroso | w_freq: 33 - 33 | wiki_freq: 1800 - 641 | sentence_idx: 955044 | align_1: 8-7 | align_2: 9-12 | ner_entity: Barroso-M. Barroso |    And yet , the Commission , and Mr Barroso from your ivory tower , what you are saying is : Let them eat cake ! ||| Et pourtant , la Commission , M. Barroso , et à partir de votre tour d' ivoire , ce que vous dites , c' est : Qu' ils mangent de la brioche !

Fora Fora | w_freq: 2 - 3 | wiki_freq: 845 - 322 | sentence_idx: 957535 | align_1: 40-42 | align_2: 41-50 | ner_entity: Juiz de Fora-Holy House of Juiz de Fora |    " First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)].

Deployed Deployed | w_freq: 3 - 2 | wiki_freq: 733 - 1 | sentence_idx: 957980 | align_1: 5-7 | align_2: 6-15 | ner_entity: none-Remember Everyone Deployed |    Red for " Remember Everyone Deployed . " ||| " RED " pour " Remember Everyone Deployed " ( Pensées aux troupes projetées ) .

Oden Oden | w_freq: 4 - 4 | wiki_freq: 1014 - 172 | sentence_idx: 958129 | align_1: 2-2 | align_2: 3-6 | ner_entity: Oden-Oden |    But , Oden realized that his liberal scholarly views had serious social consequences . ||| Mais , Oden s’ est rendu compte que ses vues libérales avaient de graves conséquences sociales .

Gowdie Gowdie | w_freq: 1 - 1 | wiki_freq: 104 - 11 | sentence_idx: 959303 | align_1: 3-3 | align_2: 4-7 | ner_entity: Vern Gowdie-Vern Gowdie |    You and Vern Gowdie tried to buy it . ||| Toi et Vern Gowdie , vous aviez essayé d’ en acheter .

E-205 E-205 | w_freq: 6 - 8 | wiki_freq: 0 - 0 | sentence_idx: 959918 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-205 |    E-205 And , yet , of all the gifts that we have received , many of us has never received that great Gift yet . ||| E-205 ( 204 ) Et , malgré tous les cadeaux que nous avons reçus , beaucoup parmi nous n' ont pas encore reçu ce grand cadeau .

Israelites Israélites | w_freq: 197 - 172 | wiki_freq: 6428 - 1118 | sentence_idx: 966010 | align_1: 5-2 | align_2: 6-8 | ner_entity: Israelites-Israélites |    As well as against the Israelites for their willfulness against him . ||| Contre les Israélites , il s’ est servi de l' idolâtrie .

Googlewash Googlewash | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 970086 | align_1: 2-3 | align_2: 3-7 | ner_entity: Googlewash-Googlewash |    And this Googlewash took just 42 days . ||| Et ce « Googlewash » n’ a pris que 42 jours .

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971019 | align_1: 4-4 | align_2: 5-10 | ner_entity: none-Angel Moms |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s’ appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu’ ils sont la voix de la protection de tous les enfants américains .

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971020 | align_1: 4-4 | align_2: 5-10 | ner_entity: none-Angel Moms |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s' appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu' ils sont la voix de la protection de tous les enfants américains .

Chinaski Chinaski | w_freq: 1 - 1 | wiki_freq: 132 - 16 | sentence_idx: 984705 | align_1: 7-8 | align_2: 8-13 | ner_entity: Chinaski-Chinaski |    Well , you ai n't God , Chinaski , relax and have another drink . ||| Enfin , tu n' es pas Dieu , Chinaski , détends - toi , prends un truc , un autre verre .

Directive Directive | w_freq: 688 - 93 | wiki_freq: 8800 - 2784 | sentence_idx: 984859 | align_1: 17-15 | align_2: 18-23 | ner_entity: a Soil Framework Directive-Directive |    However , in 2014 , the European Commission decide to withdraw a proposal for a Soil Framework Directive so there is currently no comprehensive and coherent set of rules for soil management across the EU . ||| Cependant , en 2014 , la Commission européenne a décidé de retirer la proposition de Directive - cadre sur les sols , de sorte qu’ il n’ existe actuellement aucun ensemble complet et cohérent de règles pour la gestion des sols dans l’ UE .

E-145 E-145 | w_freq: 8 - 9 | wiki_freq: 2 - 1 | sentence_idx: 986860 | align_1: 0-0 | align_2: 1-4 | ner_entity: E-145-none |    E-145 God will bless , but that blessing 's got to come under certain circumstances , certain requirements that you must meet . ||| E-145 ( 54 ) Dieu bénira , mais cette bénédiction doit venir sous certaines circonstances , certaines exigences que vous devez remplir .

VOCALOIDs VOCALOIDs | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 987345 | align_1: 7-8 | align_2: 8-12 | ner_entity: none-VOCALOIDs |    BIGHEAD : I do not think that VOCALOIDs themselves have personalities . ||| BIGHEAD : Je ne pense pas que les VOCALOIDs en eux - mêmes aient une personnalité .

5.2.3 5.2.3 | w_freq: 2 - 2 | wiki_freq: 11 - 0 | sentence_idx: 993640 | align_1: 0-0 | align_2: 1-5 | ner_entity: 5.2.3-none |    5.2.3 CRA employees will not allow a prospect for future employment to give rise to a conflict of interest . ||| 5.2.3 Les employés de l’ ARC ne permettront pas qu’ une perspective future d’ emploi donne lieu à un conflit d’ intérêts .

Repent Repentez | w_freq: 2 - 2 | wiki_freq: 161 - 7 | sentence_idx: 995991 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Repentez |    Repent , for the Kingdom of Heaven is near , ||| Repentez -vous ( metanoeo ) , car le royaume des cieux est proche .

Messiah Masih | w_freq: 116 - 18 | wiki_freq: 7087 - 71 | sentence_idx: 998375 | align_1: 0-3 | align_2: 1-8 | ner_entity: Messiah-Masih |    Messiah , Jesus son of Mary , honored in this world and the Hereafter , ||| “ al - Masih ” “ Hissa ” , fils de Marie , illustre ici - bas comme dans l' au-delà , et

L-58 E-58 | w_freq: 2 - 29 | wiki_freq: 2 - 2 | sentence_idx: 999179 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-58 |    L-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ?

